model,roc_auc,pr_auc,precision_churn_class,recall_churn_class,f1_churn_class,top_decile_capture
logistic_regression,0.8356520906347227,0.6220197158700805,0.49174917491749176,0.7967914438502673,0.6081632653061224,0.2620320855614973
hist_gradient_boosting,0.8252079763525583,0.6306862799453234,0.5919003115264797,0.5080213903743316,0.5467625899280576,0.28342245989304815
random_forest,0.8170248122130134,0.5990216770409666,0.621160409556314,0.48663101604278075,0.545727136431784,0.26737967914438504
